School Code,School Name,2014 TIER,Early Childhood Grades Served,Name of PK Literacy Assessment,Name of PK Math Assessment,Name of PK Social Emotional Assessment (Optional),PK Literacy Growth 2014,PK Math Growth 2014,PK Social Emotional Growth (Optional),PK CLASS Classroom Organization Score 2014,PK CLASS Emotional Support Score 2014,PK CLASS Instructional Support  Score 2014,PK Attendance 2014,Name of K-2 Reading Assessment,Name of K-2 Math Assessment,Name of K-2 Social Emotional Assessment (Optional),K-2 Reading Achievement/Growth score 2014,K-2 Math Achievement/Growth Score 2014,K-2 Social Emotional Score 2014 (optional),3rd Grade Reading Proficient and Advanced on the 2014 DC CAS,3rd Grade Reading DC CAS Advanced Score 2014,3rd Grade Math DC CAS Proficient and Advanced Score 2014,3rd Grade Math DC CAS Advanced Score 2014,Lower Elementary Attendance 2014,Lower Elementary Re-enrollment 2014
1121,KIPP DC Ð Promise Academy PCS,Untiered ,1 - 2,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,,,NA,,,,,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,82.2,94.9,NA,NA,NA,NA,NA,93.9,92.1
214,KIPP DC Ð Spring Academy PCS,Untiered ,K - K,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,,,NA,,,,,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,89.7,91.8,NA,NA,NA,NA,NA,95.2,
193,Latin American Montessori Bilingual PCS,Untiered ,PK3 - 2,- Bracken School Readiness Assessment (BSRA-3),- Bracken School Readiness Assessment (BSRA-3),NA,90.6,90.6,NA,5.7,6,2.2,94.6,- Indicadores Din‡micos del ƒxito en la Lectura¨ (IDEL),- Easy Curriculum-Based Measures (easyCBMª),NA,80.9,55.7,NA,NA,NA,NA,NA,95.9,94.8
135,Mary McLeod Bethune Day Academy PCS,Untiered ,PK3 - 2,- Learning Accomplishment Profile-Diagnostic (LAP-D),Not Available,NA,89.4,,NA,4.3,4.9,1.7,93.6,- Discovery Education Assessment,- Discovery Education Assessment,NA,66.7,61,NA,NA,NA,NA,NA,95.2,92.9
165,Meridian PCS,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,NA,96.3,94.4,NA,5.4,5.7,2,89.3,- Stanford Achievement Test (SAT 10),- Stanford Achievement Test (SAT 10),NA,52.7,58.5,NA,NA,NA,NA,NA,93.2,88.9
3065,Mundo Verde Bilingual PCS,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,100,100,100.0,5.3,5.8,1.9,94.9,- Fountas & Pinnell,- Group Mathematics Assessment and Diagnostic Evaluation (GMADEª) ,NA,74.6,81,NA,NA,NA,NA,NA,95.2,95.2
161,Perry Street Preparatory PCS,Untiered ,PK3 - 2,- Brigance Developmental Assessment II/III,- Brigance Developmental Assessment II/III,NA,47.5,66.1,NA,4.7,5.4,2.2,89,- Dynamic Indicators of Basic Early Literacy Skills (DIBELS),- Terra Nova,NA,51.4,74.3,NA,NA,NA,NA,NA,91.1,65.7
117,Potomac Preparatory PCS,Untiered ,PK3 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,59.8,75.3,NA,5.7,6,3.6,88.9,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,42.6,60.5,NA,NA,NA,NA,NA,92.1,71.3
173,Roots PCS,Untiered ,PK3 - 2,Not available ,Not available,NA,,,NA,4.9,5.7,1.8,90.9,- Scholastic Reading Assessment (SRA Reading Mastery),- McGraw-Hill My Math,NA,81,88.1,NA,NA,NA,NA,NA,92.2,80.9
197,Sela PCS,Untiered ,PK4 - 1,- Brigance Developmental Assessment II/III,- Brigance Developmental Assessment II/III,NA,97.1,0,NA,4.9,5.4,1.6,91.6,- Fountas & Pinnell,- Discovery Education Assessment,NA,53.6,57.1,NA,NA,NA,NA,NA,92.2,
3066,Shining Stars Montessori Academy PCS,Untiered ,PK3 - 2,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,89.6,91,NA,4.8,5.7,1.5,89.8,"- PPVT (K), DIBELS (1-2)",- Test of Early Mathematics Ability (TEMA),NA,90.9,81.8,NA,NA,NA,NA,NA,88.8,80
183,Tree of Life PCS,Untiered ,PK3 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,78.4,82.4,NA,5.1,5.5,2.8,91.9,- STAR Early Literacy,"- AIMSweb (K), STAR Math (1-2)",NA,95,59,NA,NA,NA,NA,NA,97.2,68.8
198,Two Rivers PCS,Untiered ,PK3 - 2,- Brigance Developmental Assessment II/III,- Brigance Developmental Assessment II/III,NA,97.6,93.9,NA,4.3,4.9,1.7,95.1,"- mCLASS:Reading (K), NWEA Measure of Acad. Progress (1-2)","- mCLASS:Math (K), NWEA Measure of Acad. Progress (1-2)",NA,88.9,79.2,NA,NA,NA,NA,NA,95.4,97.9
1117,Washington Yu Ying PCS,Untiered ,PK4 - 2,- Bracken School Readiness Assessment (BSRA-3),- Bracken School Readiness Assessment (BSRA-3),NA,85,85,NA,4,5.6,1.8,95.8,- Dynamic Indicators of Basic Early Literacy Skills (DIBELS),- Discovery Education Assessment,NA,80.8,88.8,NA,NA,NA,NA,NA,96.8,95.8
1125,Eagle Academy PCS Ð New Jersey Avenue,Untiered ,PK3 - 3,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,91.8,91.8,98.6,5.6,6.1,3.2,88.6,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,- Social Skills Improvement System (SSIS),83.3,84.8,81.8,NA,NA,NA,NA,89,77.4
195,Eagle Academy PCS Ð The Eagle Center at McGogney,Untiered ,PK3 - 3,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,95.9,95.2,95.2,5.1,6,3.2,88.2,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,- Social Skills Improvement System (SSIS),69.2,74.7,79.9,46.3,0.0,57.4,5.6,89.5,88.1
