School Information,,,,Demographics,,,,,,,,,,,,Student Progress,,,Student Achievement,,,,,Gateway,,,,,,,,,School Environment,,,,,,,,,
School Code,School Name,Framework,School Ward,Asian (%),Black / African American (%),Hispanic (%),Multiracial (%),Native American (%),Pacific Islander / Native Hawaiian (%),White (%),At Risk (%),Economically Disadvantaged (%)*,ELL (%),SPED (%),Audited Enrollment (#),Assessment,"Math
 (%)",Reading  (%),Assessment,ELA Levels 3+ (%),ELA Levels 4+ (%),Math Levels 3+ (%),Math Levels 4+ (%),Gateway: 3rd Grade ELA Levels 3+ (%),Gateway: 8th Grade Math Levels 3+ (%),AP / IB / Dual Enrollment  (%),College Acceptance Rate (%),2015 5-Year Graduation Rate (%),2014 4-Year Graduation Rate (%),9th Grade on Track (%),PSAT Performance (%),SAT Performance (%),Attendance (ISA) (%),Reenrollment Rate (%),CLASS: Emotional Support (%),CLASS: Classroom Organization (%),CLASS: Instructional Support (%),9th Grade on Track (%),,,,
214,KIPP DC Ð Spring Academy PCS,EC/ES/MS,5,0.0,95.1,3.9,1.0,0.0,0.0,0.0,61.8,87.3,0.0,9.8,102,NWEA,83.7,65.3,,,,,,,,,,,,,,,94.0,91.3,,,,,,,,
121,KIPP DC Ð WILL Academy PCS,EC/ES/MS,6,0.9,96.8,1.2,1.2,0.0,0.0,0.0,43.3,100.0,0.9,22.4,344,PARCC,54.9,50.7,PARCC,51.6,25.9,57.0,26.8,,62.3,,,,,,,,97.4,85.0,,,,,,,,
193,Latin American Montessori Bilingual PCS,EC/ES/MS,4,0.6,15.8,51.2,6.1,0.0,0.0,26.3,12.6,24.0,37.7,12.3,342,PARCC,58.6,66.4,PARCC,70.3,52.7,65.3,38.9,63.0,,,,,,,,,94.4,97.3,6.3,5.8,2.0,,,,,
228,Lee Montessori PCS,EC/ES/MS,5,1.4,43.2,1.4,0.0,0.0,0.0,54.1,13.5,20.3,0.0,19.2,74,,,,,,,,,,,,,,,,,,91.8,,6.3,5.7,2.3,,,,,
135,Mary McLeod Bethune Day Academy PCS,EC/ES/MS,5,0.0,89.5,6.6,0.0,0.0,0.0,3.9,64.6,100.0,2.1,9.5,381,PARCC,47.8,55.9,PARCC,50.0,14.9,37.9,8.9,26.1,33.3,,,,,,,,92.5,83.7,5.4,4.9,2.1,,,,,
101,Maya Angelou PCS Ð High School,HS,7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,39.7,253,,,,PARCC,7.3,0.0,4.5,0.0,,,9.3,72.1,55.1,43.9,35.8,2.9,20.9,61.0,65.4,,,,35.8,,,,
165,Meridian PCS,EC/ES/MS,1,1.3,59.9,36.6,0.2,0.3,0.2,1.6,48.7,100.0,27.6,12.7,639,PARCC,34.5,40.7,PARCC,39.5,10.7,34.5,10.0,28.3,27.3,,,,,,,,93.3,87.7,5.3,4.9,2.0,,,,,
3065,Mundo Verde Bilingual PCS,EC/ES/MS,5,1.2,24.5,39.1,5.0,0.0,0.0,30.2,14.4,32.9,20.8,7.4,404,,,,PARCC,47.7,30.8,66.2,40.0,48.3,,,,,,,,,95.3,93.2,6.2,5.8,2.2,,,,,
1120,National Collegiate Preparatory PCHS,HS,8,0.0,99.7,0.0,0.0,0.0,0.0,0.3,72.5,100.0,0.0,18.6,306,,,,PARCC,51.3,32.9,13.5,1.4,,,1.7,96.7,79.3,72.4,90.3,10.3,20.0,85.1,80.6,,,,90.3,,,,
222,Paul PCS Ð International High School,HS,4,0.6,82.2,17.2,0.0,0.0,0.0,0.0,52.0,38.5,7.4,13.5,325,,,,PARCC,38.7,21.8,33.3,7.0,,,,,,,70.2,30.6,,91.9,76.6,,,,70.2,,,,
170,Paul PCS Ð Middle School,EC/ES/MS,4,0.3,88.0,0.0,0.0,11.7,0.0,0.0,44.4,42.6,6.4,13.8,376,PARCC,65.0,35.0,PARCC,45.9,17.4,47.5,19.9,,48.7,,,,,,,,92.8,78.2,,,,,,,,
161,Perry Street Preparatory PCS,EC/ES/MS,5,0.3,96.6,2.3,0.3,0.3,0.2,0.0,57.7,77.1,1.6,16.6,619,PARCC,37.7,41.3,PARCC,27.0,7.6,26.8,2.9,9.1,38.1,,,,,,,,91.0,71.1,5.6,4.9,2.1,,,,,
